ID,AssistsTotal,BlocksTotal,DefensiveReboundsTotal,DoubleDoubles,Efficiency,FieldGoals2PointsAttemptedTotal,FieldGoals2PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FreeThrowsAttemptedTotal,FreeThrowsMadeTotal,GamesPlayedTotal,LastName,MinutesTotal,OffensiveReboundsTotal,OfficialName,PersonalFoulsTotal,PlayerId,PlayerLink,PlusMinus,PointsTotal,Position,SecondsTotal,ShirtNumber,StealsTotal,TripleDoubles,TurnOversTotal,Country,FullName
231,3,1,11,0,35.0,16,8,11,6,4,2,5,Hadidane,76,2,Mohamed Hadidane (TUN),6,148549,/basketballworldcup/2019/player/Mohamed-Hadidane,-30,36,Power Forward,4588,N/A,0,0,3,TUN,Mohamed Hadidane
232,6,0,5,0,5.0,18,7,10,2,4,2,5,Hiejima,90,1,Makoto Hiejima (JPN),11,181087,/basketballworldcup/2019/player/Makoto-Hiejima,-58,22,Shooting Guard,5417,N/A,3,0,11,JPN,Makoto Hiejima
233,4,0,8,0,15.0,10,3,4,1,10,7,5,Takeuchi,91,4,Joji Takeuchi (JPN),4,156006,/basketballworldcup/2019/player/Joji-Takeuchi,-63,16,Power Forward,5512,N/A,1,0,5,JPN,Joji Takeuchi
234,8,2,23,0,81.0,43,23,13,2,28,26,5,Watanabe,161,5,Yuta Watanabe (JPN),9,205382,/basketballworldcup/2019/player/Yuta-Watanabe,-114,78,Small Forward,9708,N/A,4,0,6,JPN,Yuta Watanabe
235,0,0,4,0,-1.0,2,1,11,1,0,0,4,Ando,29,1,Shuto Ando (JPN),1,262921,/basketballworldcup/2019/player/Shuto-Ando,-11,5,Shooting Guard,1773,N/A,2,0,2,JPN,Shuto Ando
236,15,0,11,0,40.0,32,13,13,4,13,8,5,Baba,127,2,Yudai Baba (JPN),11,220445,/basketballworldcup/2019/player/Yudai-Baba,-80,46,Small Forward,7651,N/A,7,0,8,JPN,Yudai Baba
237,9,0,3,0,21.0,18,6,14,5,6,4,5,Tanaka,114,2,Daiki Tanaka (JPN),7,181193,/basketballworldcup/2019/player/Daiki-Tanaka,-77,31,Shooting Guard,6879,N/A,6,0,7,JPN,Daiki Tanaka
238,6,1,26,1,78.0,42,19,16,9,11,7,5,Fazekas,137,11,Nick Fazekas (JPN),8,152307,/basketballworldcup/2019/player/Nick-Fazekas,-94,72,Center,8273,N/A,5,0,9,JPN,Nick Fazekas
239,19,1,24,0,105.0,54,25,47,20,15,12,8,Bohacik,242,8,Jaromir Bohacik (CZE),25,168674,/basketballworldcup/2019/player/Jaromir-Bohacik,5,122,Forward,14558,N/A,2,0,12,CZE,Jaromir Bohacik
240,16,2,24,1,96.0,43,25,37,12,5,5,8,Hruban,227,12,Vojtech Hruban (CZE),21,155176,/basketballworldcup/2019/player/Vojtech-Hruban,-2,91,Forward,13627,N/A,6,0,12,CZE,Vojtech Hruban
241,5,0,20,0,80.0,53,30,8,4,26,19,8,Auda,173,8,Patrik Auda (CZE),28,174138,/basketballworldcup/2019/player/Patrik-Auda,40,91,Center,10405,N/A,5,0,15,CZE,Patrik Auda
242,5,0,6,0,23.0,22,10,5,0,0,0,8,Kriz,88,10,Martin Kriz (CZE),6,168740,/basketballworldcup/2019/player/Martin-Kriz,-18,20,Center,5335,N/A,3,0,4,CZE,Martin Kriz
243,3,0,4,0,11.0,0,0,6,2,0,0,4,Palyza,17,2,Lukas Palyza (CZE),3,151565,/basketballworldcup/2019/player/Lukas-Palyza,11,6,Small Forward,1042,N/A,1,0,1,CZE,Lukas Palyza
244,7,1,10,0,56.0,16,9,15,9,2,2,8,Peterka,91,7,Martin Peterka (CZE),2,183205,/basketballworldcup/2019/player/Martin-Peterka,6,47,Center,5467,N/A,2,0,5,CZE,Martin Peterka
245,11,10,53,3,121.0,49,28,2,1,22,14,8,Balvín,210,14,Ondrej Balvín (CZE),20,168670,/basketballworldcup/2019/player/Ondrej-Balvín,-6,73,Center,12644,N/A,5,0,15,CZE,Ondrej Balvín
246,12,2,16,0,43.0,33,14,3,1,13,6,8,Pumprla,137,3,Pavel Pumprla (CZE),11,150649,/basketballworldcup/2019/player/Pavel-Pumprla,1,37,Forward,8258,N/A,5,0,4,CZE,Pavel Pumprla
247,68,3,39,2,172.0,65,29,27,13,30,27,8,Satoransky,265,6,Tomas Satoransky (CZE),14,156277,/basketballworldcup/2019/player/Tomas-Satoransky,15,124,Point Guard,15919,N/A,7,0,22,CZE,Tomas Satoransky
248,14,1,8,0,55.0,11,5,17,11,2,1,6,Schilb,102,0,Blake Schilb (CZE),2,163142,/basketballworldcup/2019/player/Blake-Schilb,9,44,Forward,6173,N/A,4,0,3,CZE,Blake Schilb
249,9,0,0,0,6.0,3,1,4,1,4,2,6,Sirina,32,0,Jakub Sirina (CZE),6,150912,/basketballworldcup/2019/player/Jakub-Sirina,-13,7,Point Guard,1968,N/A,0,0,3,CZE,Jakub Sirina
250,1,0,0,0,-3.0,0,0,2,0,0,0,6,Vyoral,10,0,Tomas Vyoral (CZE),1,160181,/basketballworldcup/2019/player/Tomas-Vyoral,7,0,Point Guard,604,N/A,0,0,2,CZE,Tomas Vyoral
251,24,3,23,1,93.0,11,4,36,15,12,9,8,Fernandez,216,6,Rudy Fernandez (ESP),14,135508,/basketballworldcup/2019/player/Rudy-Fernandez,110,62,Small Forward,13016,N/A,13,0,7,ESP,Rudy Fernandez
252,33,9,41,0,135.0,56,30,31,7,45,34,8,Gasol,228,3,Marc Gasol (ESP),15,137482,/basketballworldcup/2019/player/Marc-Gasol,109,115,Center,13692,N/A,9,0,14,ESP,Marc Gasol
253,13,5,24,0,104.0,29,21,19,6,10,8,8,Claver,209,15,Victor Claver (ESP),21,146682,/basketballworldcup/2019/player/Victor-Claver,76,68,Forward,12547,N/A,12,0,10,ESP,Victor Claver
254,48,0,30,1,140.0,63,29,31,12,44,37,8,Rubio,210,7,Ricky Rubio (ESP),18,152350,/basketballworldcup/2019/player/Ricky-Rubio,96,131,Point Guard,12638,N/A,12,0,28,ESP,Ricky Rubio
255,30,0,10,0,53.0,38,18,49,13,11,9,8,Llull,193,0,Sergio Llull (ESP),19,143541,/basketballworldcup/2019/player/Sergio-Llull,85,84,Guard,11581,N/A,4,0,17,ESP,Sergio Llull
